myVar,ID
0.1,1
0.1,2
0.1,3
0.1,4
0.1,5
0.1,6
0.1,7
0.1,8
0.2,9
0.2,10
0.2,11
0.2,12
0.2,13
0.2,14
0.2,15
0.2,16
0.2,17
0.2,18
0.2,19
0.2,20
0.2,21
0.2,22
0.2,23
0.3,24
0.3,25
0.3,26
0.3,27
0.3,28
0.3,29
0.3,30
0.3,31
0.4,32
0.4,33
0.4,34
0.4,35
0.4,36
0.4,37
0.5,38
0.6,39
0.6,40
0.6,41
0.6,42
0.7,43
0.7,44
0.7,45
0.7,46
0.8,47
0.8,48
0.8,49
0.8,50
0.8,51
0.9,52
0.9,53
0.9,54
0.9,55
0.9,56
0.9,57
0.9,58
0.9,59
0.9,60
0.9,61
0.9,62
0.9,63
0.9,64
1.0,65
1.0,66
1.0,67
1.0,68
1.0,69
1.0,70
1.0,71
1.0,72
1.0,73
1.1,74
1.1,75
1.1,76
1.1,77
1.1,78
1.1,79
1.1,80
1.2,81
1.2,82
1.2,83
1.2,84
1.2,85
1.2,86
1.2,87
1.2,88
1.3,89
1.3,90
1.3,91
1.3,92
1.3,93
1.3,94
1.3,95
1.3,96
1.3,97
1.3,98
1.4,99
1.4,100
1.4,101
1.4,102
1.4,103
1.4,104
1.5,105
1.5,106
1.5,107
1.5,108
1.5,109
1.5,110
1.5,111
1.5,112
1.6,113
1.6,114
1.6,115
1.6,116
1.7,117
1.7,118
1.7,119
1.7,120
1.7,121
1.7,122
1.8,123
1.8,124
1.8,125
1.8,126
1.8,127
1.8,128
1.8,129
1.8,130
1.8,131
1.8,132
1.9,133
1.9,134
1.9,135
1.9,136
1.9,137
1.9,138
1.9,139
1.9,140
1.9,141
1.9,142
1.9,143
1.9,144
2.0,145
2.0,146
2.0,147
2.0,148
2.0,149
2.0,150
2.0,151
2.0,152
2.0,153
2.1,154
2.1,155
2.1,156
2.1,157
2.1,158
2.1,159
2.1,160
2.1,161
2.2,162
2.2,163
2.2,164
2.2,165
2.2,166
2.2,167
2.2,168
2.2,169
2.2,170
2.2,171
2.2,172
2.2,173
2.3,174
2.3,175
2.3,176
2.4,177
2.4,178
2.4,179
2.4,180
2.4,181
2.5,182
2.5,183
2.5,184
2.5,185
2.5,186
2.5,187
2.5,188
2.5,189
2.5,190
2.6,191
2.6,192
2.6,193
2.7,194
2.8,195
2.8,196
2.9,197
2.9,198
2.9,199
2.9,200
2.9,201
3.0,202
3.0,203
3.0,204
3.0,205
3.1,206
3.2,207
3.2,208
3.2,209
3.2,210
3.2,211
3.2,212
3.3,213
3.3,214
3.3,215
3.3,216
3.4,217
3.6,218
3.7,219
3.8,220
3.8,221
3.8,222
4.0,223
4.1,224
5.0,225
5.0,226
5.4,227
5.4,228
5.7,229
6.4,230
6.5,231
0.1,232
0.1,233
0.1,234
0.1,235
0.1,236
0.1,237
0.1,238
0.2,239
0.2,240
0.2,241
0.2,242
0.2,243
0.2,244
0.2,245
0.3,246
0.3,247
0.3,248
0.3,249
0.3,250
0.4,251
0.4,252
0.4,253
0.4,254
0.5,255
0.5,256
0.5,257
0.6,258
0.7,259
0.7,260
0.7,261
0.7,262
0.8,263
0.8,264
0.8,265
0.8,266
0.9,267
0.9,268
0.9,269
0.9,270
1.0,271
1.0,272
1.0,273
1.0,274
1.0,275
1.0,276
1.1,277
1.1,278
1.1,279
1.1,280
1.1,281
1.1,282
1.1,283
1.1,284
1.2,285
1.2,286
1.2,287
1.2,288
1.2,289
1.2,290
1.2,291
1.2,292
1.2,293
1.2,294
1.3,295
1.3,296
1.3,297
1.3,298
1.3,299
1.3,300
1.3,301
1.3,302
1.3,303
1.3,304
1.3,305
1.3,306
1.3,307
1.4,308
1.4,309
1.4,310
1.4,311
1.4,312
1.4,313
1.4,314
1.4,315
1.4,316
1.4,317
1.4,318
1.4,319
1.4,320
1.5,321
1.5,322
1.5,323
1.5,324
1.5,325
1.6,326
1.6,327
1.6,328
1.6,329
1.6,330
1.6,331
1.7,332
1.7,333
1.7,334
1.7,335
1.7,336
1.7,337
1.7,338
1.7,339
1.7,340
1.8,341
1.8,342
1.9,343
1.9,344
1.9,345
1.9,346
1.9,347
2.0,348
2.0,349
2.0,350
2.0,351
2.0,352
2.1,353
2.1,354
2.1,355
2.1,356
2.1,357
2.1,358
2.2,359
2.2,360
2.2,361
2.2,362
2.2,363
2.2,364
2.2,365
2.3,366
2.3,367
2.3,368
2.3,369
2.3,370
2.3,371
2.3,372
2.3,373
2.4,374
2.5,375
2.5,376
2.6,377
2.6,378
2.6,379
2.7,380
2.7,381
2.8,382
2.9,383
2.9,384
3.0,385
3.1,386
3.1,387
3.1,388
3.2,389
3.2,390
3.3,391
3.3,392
3.3,393
3.3,394
3.4,395
3.5,396
3.7,397
3.7,398
3.8,399
3.9,400
4.5,401
4.6,402
4.7,403
5.4,404
7.3,405
