"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
804,"0938-15202","ME","Aziscohos",2013,"Female","ATY",2.1,NA,NA
803,"0938-15145","ME","Aziscohos",2013,"Female","ATY",2,NA,NA
812,"1118-15992","ME","Somes Pond",2013,"Female","ATY",2,NA,NA
806,"0898-05388","ME","Swan Lake",2013,"Female","ATY",0.8,NA,NA
810,"0938-78858","ME","L.L. Bean Pond",2013,"Female","ATY",0.3,NA,NA
800,"0649-08897","ME","Aziscohos",2013,"Male","ATY",3.2,NA,NA
807,"1118-15993","ME","Aziscohos",2013,"Male","ATY",2.4,NA,NA
805,"1118-15990","ME","Swan Lake",2013,"Male","ATY",1.5,NA,NA
808,"0938-66656","ME","Little Sebago",2013,"Male","ATY",0.9,NA,NA
809,"0938-78857","ME","Great Pond",2013,"Hatch Year","HY",0.1,NA,NA
801,"1118-15987","ME","Middle Range Pond",2013,"Female","ATY",1.4,NA,1
802,"1118-15994","ME","Raymond Pond",2013,"Female","ATY",1,NA,1
