"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
655,"0689-09412","ME","Mooselookmeguntic",2021,"Female","ATY",NA,NA,NA
687,"0689-15625","ME","Kezar Lake",2021,"Female","ATY",3,NA,NA
647,"0938-44426","ME","Aziscohos",2021,"Female","ATY",1.6,NA,NA
697,"0689-15638","ME","Long Pond",2021,"Female","ATY",1.2,NA,NA
663,"1238-08870","MA","Quabbin",2021,"Female","ATY",1.2,NA,NA
665,"0689-15630","ME","Long Pond",2021,"Female","ATY",1.1,NA,NA
660,"1118-16231","ME","Indian Pond",2021,"Female","ATY",1,NA,NA
674,"0689-09408","ME","Messalonskee",2021,"Female","ATY",0.9,NA,NA
699,"0689-09428","ME","Great Pond",2021,"Female","ATY",0.8,NA,NA
646,"1238-04716","ME","Aziscohos",2021,"Female","ATY",0.6,NA,NA
627,"0689-15609","NH","Streeter Pond",2021,"Female","ATY",0.3,NA,NA
708,"1278-57401","MA","Wachusett Reservoir",2021,"Female","ATY",NA,NA,NA
706,"1238-08878","MA","Quabbin",2021,"Female","ATY",NA,NA,NA
690,"1238-04723","ME","Portage Lake",2021,"Male","ATY",NA,NA,NA
678,"1118-15974","ME","Rangeley",2021,"Male","ATY",3.2,NA,NA
629,"1118-15223","NH","Sunapee Lake",2021,"Male","ATY",1.9,NA,NA
720,"0938-61779","NY","Upper St. Regis",2021,"Male","ATY",NA,NA,NA
670,"1238-08879","MA","Whitehall Reservoir",2021,"Male","ATY",NA,NA,NA
692,"1238-24404","ME","Parker Pond",2021,"Hatch Year","HY",NA,NA,NA
689,"1238-08853","ME","Crystal Lake",2021,"Hatch Year","HY",NA,NA,NA
684,"1238-08897","ME","Crystal Lake",2021,"Hatch Year","HY",NA,NA,NA
649,"0649-08894","ME","Thompson Lake",2021,"Hatch Year","HY",NA,NA,NA
657,"0689-09436","ME","Great Pond",2021,"Hatch Year","HY",1.1,NA,NA
701,"1238-08890","ME","Lake George",2021,"Hatch Year","HY",0.5,NA,NA
691,"0689-09447","ME","North Pond",2021,"Hatch Year","HY",0.4,NA,NA
648,"0689-15633","ME","Jimmie Pond",2021,"Hatch Year","HY",0.4,NA,NA
694,"0649-08883","ME","Mooselookmeguntic",2021,"Hatch Year","ATY",0.4,NA,NA
703,"0689-09420","ME","Webber Lake",2021,"Hatch Year","HY",0.3,NA,NA
693,"0689-09406","ME","Thompson Lake",2021,"Hatch Year","HY",0.3,NA,NA
709,"0689-15631","ME","East Pond",2021,"Hatch Year","HY",0.2,NA,NA
707,"0689-15627","ME","Kezar Lake",2021,"Hatch Year","HY",0.2,NA,NA
685,"0689-15634","ME","Long Pond",2021,"Hatch Year","HY",0.2,NA,NA
681,"0689-15646","ME","Kezar Lake",2021,"Hatch Year","HY",0.2,NA,NA
656,"0689-09435","ME","Little Ossipee",2021,"Hatch Year","HY",0.2,NA,NA
653,"0689-09424","ME","Maranacook Lake",2021,"Hatch Year","HY",0.2,NA,NA
645,"0689-15635","MA","Whitehall Reservoir",2021,"Hatch Year","HY",0.2,NA,NA
662,"1238-08869","ME","East Pond",2021,"Hatch Year","HY",0.1,NA,NA
654,"0689-09409","ME","Messalonskee",2021,"Hatch Year","HY",0.1,NA,NA
651,"1238-08854","ME","Messalonskee",2021,"Hatch Year","HY",0.1,NA,NA
650,"0649-08893","ME","Lake George",2021,"Hatch Year","HY",0.1,NA,NA
725,"1118-16223","NY","Bear Pond",2021,"Hatch Year","HY",NA,NA,NA
718,"UNNY-21002","NY","South Lake",2021,"Hatch Year","HY",NA,NA,NA
714,"1118-16217","NY","Lake Colby",2021,"Hatch Year","HY",NA,NA,NA
712,"1118-16229","NY","Jabe Pond",2021,"Hatch Year","HY",NA,NA,NA
676,"1238-04715","ME","Flagstaff",2021,"Female","ATY",NA,NA,1
672,"1238-04717","ME","Aziscohos",2021,"Female","ATY",NA,NA,1
686,"1038-60124","MA","Bickford Reservoir",2021,"Female","ATY",2.5,NA,1
634,"1238-04776","NH","Mascoma Lake",2021,"Female","ATY",1.7,NA,1
631,"0698-15618","NH","CT Lake",2021,"Female","ATY",1.5,NA,1
636,"0689-15619","NH","Halfmoon Lake",2021,"Female","ATY",1.3,NA,1
659,"0689-15628","ME","Cushman Pond",2021,"Female","ATY",0.7,NA,1
1074,"0938-78852","MA","Crystal Lake",2021,"Female","ATY",NA,NA,1
723,"1118-16215","NY","Honnedaga Lake",2021,"Female","ATY",NA,NA,1
722,"0938-78812","NY","Jabe Pond",2021,"Female","ATY",NA,NA,1
713,"1118-16221","NY","Bear Pond",2021,"Female","ATY",NA,NA,1
695,"1238-04721","ME","Portage Lake",2021,"Male","ATY",NA,NA,1
700,"0689-09450","ME","Thompson Lake",2021,"Male","ATY",3.8,NA,1
632,"0689-15617","NH","CT Lake",2021,"Male","ATY",2.3,NA,1
658,"0689-09422","ME","Great Pond",2021,"Male","ATY",1.4,NA,1
637,"0689-15616","NH","Manning Lake",2021,"Male","ATY",1.3,NA,1
661,"1238-04714","ME","Aziscohos",2021,"Male","ATY",1.2,NA,1
630,"0689-15620","NH","Waukewan Lake",2021,"Male","ATY",1.1,NA,1
625,"0689-15604","NH","Stone Pond",2021,"Male","ATY",1.1,NA,1
626,"1238-04790","NH","Ogontz Lake",2021,"Male","ATY",1,NA,1
664,"0689-15626","ME","Long Pond",2021,"Male","ATY",0.7,NA,1
724,"1118-16214","NY","Honnedaga Lake",2021,"Male","ATY",NA,NA,1
683,"0898-09109","MA","Wachusett Reservoir",2021,"Male","ATY",NA,NA,1
721,"1058-00635","NY","Upper St. Regis",2021,"Hatch Year","HY",NA,NA,1
717,"1058-00683","NY","Arbutus",2021,"Hatch Year","HY",NA,NA,1
716,"1118-16227","NY","Paradox Lake",2021,"Hatch Year","HY",NA,NA,1
711,"1058-00689","NY","Middle Pond",2021,"Hatch Year","HY",NA,NA,1
702,"1238-08852","MA","Wachusett Reservoir",2021,"Hatch Year","HY",NA,NA,1
669,"0689-15644","ME","Long Lake",2021,"Hatch Year","HY",1.6,NA,1
719,"0669-21767","NY","Lake Colby",2021,"Male","ATY",2.1,1,0
682,"0689-09448","ME","Thompson Lake",2021,"Male","ATY",1.4,1,0
696,"0689-15637","ME","Cushman Pond",2021,"Male","ATY",0.9,1,0
715,"UNNY-21003","NY","Horseshoe Lake",2021,"Hatch Year","HY",0.1,1,0
668,"1238-04725","ME","Portage Lake",2021,"Female","ATY",NA,1,1
641,"1118-16102","NH","Lake Francis",2021,"Female","ATY",1.9,1,1
688,"0689-15629","ME","Jimmie Pond",2021,"Female","ATY",1.8,1,1
628,"0689-15608","NH","Winnipesaukee",2021,"Female","ATY",1.7,1,1
704,"1238-08875","MA","Whitehall Reservoir",2021,"Female","ATY",1.2,1,1
675,"0689-09426","ME","Great Pond",2021,"Female","ATY",0.8,1,1
635,"1238-04783","NH","Crystal Lake",2021,"Male","ATY",3.1,1,1
666,"0689-09437","ME","Great Pond",2021,"Male","ATY",1.5,1,1
705,"0689-09439","ME","Great Pond",2021,"Male","ATY",1.3,1,1
633,"0689-15621","NH","Mascoma Lake",2021,"Male","ATY",NA,1,1
