"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
277,"0669-21915","MA","Notown Lake",2015,"Female","ATY",3.8,NA,NA
279,"1118-15964","MA","Wachusett Lake",2015,"Female","ATY",1.7,NA,NA
311,"1118-16190","NH","Purity Lake",2015,"Female","ATY",1.1,NA,NA
217,"0898-09819","NH","Swains Lake",2015,"Male","ATY",2.3,NA,NA
1047,"1118-15214","ME","Rangeley Lake",2015,"Male","ATY",NA,NA,NA
1045,"0938-15120","ME","Big Jim",2015,"Male","ATY",NA,NA,NA
329,"UnNY-15003","NY","North Lake",2015,"Hatch Year","HY",0.7,NA,NA
328,"UnNY-15004","NY","North Lake",2015,"Hatch Year","HY",0.7,NA,NA
325,"UnNY-15001","NY","Little Moose Lake",2015,"Hatch Year","HY",0.1,NA,NA
326,"UnNY-15002","NY","Little Moose Lake",2015,"Hatch Year","HY",0.1,NA,NA
322,"1118-15252","NH","Grafton Pond",2015,"Female","ATY",2.3,NA,1
320,"1118-16184","NH","Winnipesaukee",2015,"Female","ATY",2,NA,1
315,"1118-15256","NH","Squam Lake",2015,"Female","ATY",1.4,NA,1
348,"1118-15255","NH","Winnipesaukee",2015,"Female","ATY",1.4,NA,1
1048,"1118-15246","ME","Mooselookmeguntic",2015,"Female","ATY",NA,NA,1
316,"0938-44710","NH","Squam Lake",2015,"Male","ATY",2,NA,1
313,"1118-16189","NH","Adder Pond",2015,"Male","ATY",0.9,NA,1
321,"1118-16196","NH","Winnipesaukee",2015,"Male","ATY",0.8,NA,1
327,"0938-61783","NY","Little Moose Lake",2015,"Male","ATY",0.7,NA,1
1053,"0938-15335","ME","Sturtevant Pond",2015,"Male","ATY",NA,NA,1
1050,"0938-06388","ME","Mooselookmeguntic",2015,"Male","ATY",NA,NA,1
1042,"1118-15229","ME","Richardson",2015,"Male","ATY",NA,NA,1
1040,"0669-55047","ME","Little Sebago",2015,"Male","ATY",NA,NA,1
1052,"UnME-15004","ME","Sturtevant Pond",2015,"Hatch Year","HY",NA,NA,1
1051,"UnME-15003","ME","Mooselookmeguntic",2015,"Hatch Year","HY",NA,NA,1
351,"UnME-15002","ME","Gull Pond",2015,"Hatch Year","HY",NA,NA,1
347,"1118-15253","NH","Winnipesaukee",2015,"Female","ATY",1,1,0
1046,"1118-15966","ME","Little Sebago",2015,"Female","ATY",NA,1,0
1043,"1118-15234","ME","Rangeley Lake",2015,"Female","ATY",NA,1,0
310,"1118-15254","NH","Purity Lake",2015,"Male","ATY",1.4,1,0
355,"1118-15997","ME","Flagstaff",2015,"Female","ATY",2.3,1,1
352,"0938-15105","ME","Little Sebago",2015,"Female","ATY",1.3,1,1
314,"1118-15259","NH","Adder Pond",2015,"Female","ATY",1.1,1,1
1049,"0669-55049","ME","Little Sebago",2015,"Female","ATY",NA,1,1
1044,"1118-15233","ME","Richardson",2015,"Female","ATY",NA,1,1
278,"1118-15962","MA","Fitchburg Reservoir",2015,"Male","ATY",1.9,1,1
