"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
149,"0938-44812","MA","Hycrest Reservoir",2014,"Female","ATY",6.4,NA,NA
1035,"1118-16193","NH","Massabesic Lake",2014,"Female","ATY",2.9,NA,NA
181,"1118-15976","ME","Aziscohos",2014,"Female","ATY",2.9,NA,NA
244,"0898-09854","NY","Chaumont Pond",2014,"Female","ATY",2.2,NA,NA
1033,"1118-16186","NH","Pleasant Lake",2014,"Female","ATY",1.8,NA,NA
228,"1118-16180","NH","Wikwas",2014,"Female","ATY",1.8,NA,NA
224,"1118-16170","NH","Goose Pond",2014,"Female","ATY",1.7,NA,NA
148,"0938-44361","MA","Quabbin",2014,"Female","ATY",1.6,NA,NA
159,"0669-55030","ME","Little Sebago",2014,"Female","ATY",1.5,NA,NA
161,"0669-55045","ME","Little Sebago",2014,"Female","ATY",1.3,NA,NA
157,"0669-55025","ME","Middle Pond Kezar",2014,"Female","ATY",1,NA,NA
160,"0669-55040","ME","Long Pond",2014,"Female","ATY",0.9,NA,NA
143,"0669-21928","MA","Quabbin",2014,"Female","ATY",0.9,NA,NA
153,"0938-66647","MA","Hycrest Reservoir",2014,"Male","ATY",5.4,NA,NA
182,"1118-15988","ME","Kezar Lake",2014,"Male","ATY",4.1,NA,NA
183,"1118-15996","ME","Kezar Lake",2014,"Male","ATY",3,NA,NA
241,"0649-08872","NY","Mason Lake",2014,"Male","ATY",2.5,NA,NA
179,"1118-15963","ME","Beaver Mountain",2014,"Male","ATY",2.4,NA,NA
1029,"1118-16173","NH","Goose Pond",2014,"Male","ATY",2.3,NA,NA
169,"0938-26124","ME","Highland Lake",2014,"Male","ATY",2.3,NA,NA
245,"0898-09864","NY","Upper St. Regis",2014,"Male","ATY",2.1,NA,NA
180,"1118-15967","ME","Beaver Mountain",2014,"Male","ATY",2.1,NA,NA
1028,"1118-16172","NH","Massabesic Lake",2014,"Male","ATY",2,NA,NA
150,"0938-61737","MA","Quabbin",2014,"Male","ATY",2,NA,NA
146,"0938-44355","MA","Quabbin",2014,"Male","ATY",1.9,NA,NA
145,"0669-55046","MA","Crystal",2014,"Male","ATY",1.9,NA,NA
147,"0938-44359","MA","Quabbin",2014,"Male","ATY",1.8,NA,NA
177,"0938-78865","ME","Little Sebago",2014,"Male","ATY",1.8,NA,NA
