"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
1005,"1058-00605","ME","Mooselookmeguntic",2012,"Female","ATY",3.3,NA,NA
1016,"1118-15935","ME","Little Sebago",2012,"Female","ATY",1.1,NA,NA
1000,"0669-55037","ME","Flagstaff",2012,"Male","ATY",5.7,NA,NA
1013,"0938-66614","ME","Indian Pond",2012,"Male","ATY",3.1,NA,NA
1007,"1118-15934","ME","Little Sebago",2012,"Male","ATY",3,NA,NA
1006,"1118-15915","ME","Pattee Pond",2012,"Male","ATY",2.5,NA,NA
1015,"0669-55024","ME","Mooselookmeguntic",2012,"Male","ATY",2.4,NA,NA
1014,"0938-15125","ME","Big Jim",2012,"Male","ATY",1.4,NA,NA
1008,"1118-15921","ME","Somes Pond",2012,"Hatch Year","HY",0.3,NA,NA
1009,"1058-00603","ME","Aziscohos",2012,"Female","ATY",2.1,NA,1
1003,"0938-66609","ME","Flagstaff",2012,"Female","ATY",2.1,NA,1
1018,"1058-00602","ME","Mooselookmeguntic",2012,"Female","ATY",1.6,NA,1
1001,"1118-15916","ME","Unity Pond",2012,"Female","ATY",1.4,NA,1
1010,"0669-55039","ME","Indian Pond",2012,"Female","ATY",1.1,NA,1
1012,"1118-15952","ME","Mooselookmeguntic",2012,"Male","ATY",2.5,NA,1
1011,"0938-78801","ME","Rangeley Lake",2012,"Male","ATY",2.1,NA,1
1002,"0938-78861","ME","Aziscohos",2012,"Male","ATY",1.9,NA,1
1017,"1118-15920","ME","Somes Pond",2012,"Male","ATY",3.8,1,0
