"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
74,"1118-15911","MA","Quabbin",2011,"Female","ATY",2.5,NA,NA
114,"0938-44874","ME","Kezar Lake",2011,"Female","ATY",1.8,NA,NA
106,"0898-09146","ME","Trout Pond",2011,"Female","ATY",1.6,NA,NA
83,"0938-44494","ME","Thompson Lake",2011,"Female","ATY",0.9,NA,NA
89,"0938-06215","NH","Squam Lake",2011,"Female","ATY",NA,NA,NA
61,"1118-15945","NH","Bear Camp Pond",2011,"Female","ATY",NA,NA,NA
110,"0938-15114","ME","Trout Pond",2011,"Male","ATY",2.2,NA,NA
71,"1118-15903","NH","Hawkins Ponds",2011,"Male","ATY",NA,NA,NA
60,"1118-15905","NH","Winnipesaukee",2011,"Male","ATY",NA,NA,NA
111,"0669-20575","ME","Kezar Lake",2011,"Hatch Year","HY",0.2,NA,NA
107,"0938-44702","ME","Kezar Lake",2011,"Hatch Year","HY",0.2,NA,NA
96,"0938-06415","ME","Long Pond",2011,"Female","ATY",2.7,NA,1
126,"0938-78809","NY","Big Moose Lake",2011,"Female","ATY",2.1,NA,1
84,"0669-21953","ME","Eagle Lake",2011,"Female","ATY",1.3,NA,1
120,"0898-09133","NY","Little Moose Lake",2011,"Female","ATY",0.8,NA,1
125,"0938-78816","NY","South Lake",2011,"Female","ATY",0.3,NA,1
94,"1118-15907","NH","Squam Lake",2011,"Female","ATY",NA,NA,1
91,"0938-44726","NH","Squam Lake",2011,"Female","ATY",NA,NA,1
72,"0898-09839","NH","Squam Lake",2011,"Female","ATY",NA,NA,1
68,"0669-21998","NH","Squam Lake",2011,"Female","ATY",NA,NA,1
57,"0938-44726","NH","Squam Lake",2011,"Female","ATY",NA,NA,1
88,"0938-44808","ME","Long Pond",2011,"Male","ATY",3.7,NA,1
122,"0938-78820","NY","South Lake",2011,"Male","ATY",3.3,NA,1
127,"0938-78810","NY","Big Moose Lake",2011,"Male","ATY",3.1,NA,1
128,"0938-78825","NY","Round Lake",2011,"Male","ATY",2.2,NA,1
105,"0938-44746","ME","Pleasant Lake",2011,"Male","ATY",1,NA,1
119,"0938-78814","NY","Rondayelk Lake",2011,"Male","ATY",0.3,NA,1
104,"0938-44751","ME","Tea Pond",2011,"Male","ATY",0.3,NA,1
93,"1118-15906","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
92,"0669-21976","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
86,"1118-15902","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
77,"1118-15901","NH","Winnipesaukee",2011,"Male","ATY",NA,NA,1
70,"1118-15901","NH","Winnipesaukee",2011,"Male","ATY",NA,NA,1
67,"0898-09936","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
65,"1118-15902","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
62,"1118-15947","NH","Bear Camp Pond",2011,"Male","ATY",NA,NA,1
58,"0669-21976","NH","Squam Lake",2011,"Male","ATY",NA,NA,1
118,"0559-61794","ME","Kezar Lake",2011,"Male","ATY",4,1,0
73,"0938-15266","MA","Quabbin",2011,"Male","ATY",2,1,0
97,"0898-09120","ME","Wyman Lake",2011,"Female","ATY",2.1,1,1
90,"0669-21886","NH","Winnipesaukee",2011,"Female","ATY",NA,1,1
85,"1118-15904","NH","Hawkins Ponds",2011,"Female","ATY",NA,1,1
78,"0669-20505","NH","Winnipesaukee",2011,"Female","ATY",NA,1,1
69,"0669-20595","NH","Winnipesaukee",2011,"Female","ATY",NA,1,1
124,"0938-26110","NY","North Lake",2011,"Male","ATY",7.3,1,1
102,"0559-61796","ME","Middle Pond Kezar",2011,"Male","ATY",3.7,1,1
121,"0938-03456","NY","Lower Saranac Lake",2011,"Male","ATY",2.3,1,1
95,"0669-21968","ME","Little Sebago",2011,"Male","ATY",1.7,1,1
103,"0669-20589","ME","Arnold Pond",2011,"Male","ATY",1.4,1,1
109,"1118-15903","NH","Hawkins Ponds",2011,"Male","ATY",NA,1,1
