"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
859,"1118-16158","NH","Iona Lake",2016,"Female","ATY",2.2,NA,NA
837,"1118-15272","NH","Swains Lake",2016,"Female","ATY",1.9,NA,NA
1068,"0968-87753","NY","Twitchell Lake",2016,"Female","ATY",1.8,NA,NA
1057,"0968-87773","NY","Twitchell Lake",2016,"Female","ATY",1.77,NA,NA
834,"1118-15290","NH","Clark Pond",2016,"Female","ATY",1.5,NA,NA
1062,"0968-87759","NY","Little Green Pond",2016,"Female","ATY",1.4,NA,NA
841,"1118-15275","NH","Winnipesaukee",2016,"Female","ATY",1.2,NA,NA
848,"1118-15297","NH","Squam Lake",2016,"Female","ATY",1.1,NA,NA
845,"1118-15293","NH","Squam Lake",2016,"Female","ATY",1,NA,NA
814,"0938-53083","ME","Arnold Pond",2016,"Female","ATY",1,NA,NA
857,"1118-15242","NH","Kanasatka Lake",2016,"Female","ATY",0.9,NA,NA
863,"1118-15219","NH","Nay Pond",2016,"Female","ATY",0.8,NA,NA
855,"0669-21988","NH","Little Squam Lake",2016,"Female","ATY",0.6,NA,NA
861,"1118-15225","NH","Pontook Reservoir",2016,"Female","ATY",0.6,NA,NA
824,"0938-53098","ME","Flagstaff",2016,"Male","ATY",5,NA,NA
1060,"0649-08895","NY","Dry Channel Pond",2016,"Male","ATY",3.48,NA,NA
817,"0938-15105","ME","East Pond",2016,"Male","ATY",3.2,NA,NA
847,"1118-15292","NH","Star Lake",2016,"Male","ATY",3.2,NA,NA
1063,"0649-08826","NY","Garnet Lake",2016,"Male","ATY",2.7,NA,NA
858,"1118-15217","NH","Iona Lake",2016,"Male","ATY",2.2,NA,NA
813,"0938-15335","ME","Little Sebago",2016,"Male","ATY",2.1,NA,NA
850,"1118-15274","NH","Winnipesaukee",2016,"Male","ATY",2,NA,NA
862,"1118-15222","NH","Pontook Reservoir",2016,"Male","ATY",1.7,NA,NA
818,"0938-78856","ME","East Richardson",2016,"Male","ATY",1.5,NA,NA
849,"1118-15268","NH","Winnipesaukee",2016,"Male","ATY",1.3,NA,NA
1069,"0938-61800","NY","Clear Pond",2016,"Male","ATY",1.3,NA,NA
840,"1118-15224","NH","Winnipesaukee",2016,"Male","ATY",1.3,NA,NA
854,"1118-15299","NH","Little Squam Lake",2016,"Male","ATY",1.3,NA,NA
833,"1118-15271","NH","Nippo Pond",2016,"Male","ATY",1.2,NA,NA
843,"1118-15280","NH","Conner Pond",2016,"Male","ATY",0.8,NA,NA
864,"1118-15223","NH","Sunapee Lake, Little",2016,"Male","ATY",0.8,NA,NA
1059,"UnNY-16005","NY","Twitchell Lake",2016,"Hatch Year","HY",0.2,NA,NA
1067,"UnNY-16003","NY","Garnet Lake",2016,"Hatch Year","HY",0.18,NA,NA
1065,"UnNY-16004","NY","Oliver Pond",2016,"Hatch Year","HY",0.09,NA,NA
1061,"0968-87770","NY","Limekiln Lake",2016,"Female","ATY",2.53,NA,1
815,"0938-53095","ME","Aziscohos",2016,"Female","ATY",2.5,NA,1
1070,"0968-87760","NY","Upper Saranac Lake",2016,"Female","ATY",1.63,NA,1
826,"1118-15980","ME","Richardson",2016,"Female","ATY",1.6,NA,1
825,"0938-53077","ME","Richardson",2016,"Female","ATY",1.3,NA,1
853,"1118-15287","NH","Squam Lake",2016,"Female","ATY",1.3,NA,1
867,"1118-16182","NH","Bow Lake",2016,"Female","ATY",1.2,NA,1
816,"0938-53094","ME","Aziscohos",2016,"Female","ATY",1.2,NA,1
856,"1118-15988","ME","Big Jim Pond",2016,"Female","ATY",1.2,NA,1
835,"1118-15277","NH","Nippo Pond",2016,"Female","ATY",1,NA,1
852,"1118-15291","NH","Waukewan Lake",2016,"Female","ATY",0.7,NA,1
866,"1118-15265","NH","Willard Pond",2016,"Female","ATY",0.4,NA,1
846,"1118-15295","NH","Sunapee Lake",2016,"Male","ATY",3.5,NA,1
828,"0938-53079","ME","Long Pond",2016,"Male","ATY",3.3,NA,1
829,"0938-53087","ME","Long Pond",2016,"Male","ATY",3.3,NA,1
1064,"0649-08808","NY","Lower Saranac Lake",2016,"Male","ATY",3.05,NA,1
821,"0649-08833","ME","Flagstaff",2016,"Male","ATY",2.9,NA,1
831,"1118-15987","ME","Crescent Lake",2016,"Male","ATY",2.7,NA,1
868,"1118-15294","NH","Northwood Lake",2016,"Male","ATY",2.6,NA,1
1058,"0649-08825","NY","Limekiln Lake",2016,"Male","ATY",2.51,NA,1
820,"1118-15971","ME","Mooselookmeguntic",2016,"Male","ATY",1.7,NA,1
822,"0649-08897","ME","Flagstaff",2016,"Male","ATY",1.7,NA,1
