"T #","Band #","State","Lake","Year Collected","Sex","Age","Hg","PLAS","LEUC"
50,"0938-15317","ME","Watchic Lake",2010,"Female","ATY",2.9,NA,NA
6,"0898-09880","NH","Pleasant Lake",2010,"Female","ATY",2.4,NA,NA
44,"0898-09146","ME","Mooselookmeguntic",2010,"Female","ATY",2.2,NA,NA
32,"0669-20564","ME","Little Sebago",2010,"Female","ATY",2,NA,NA
42,"0938-26128","ME","Aziscohos",2010,"Female","ATY",1.8,NA,NA
2,"0938-61755","NH","Northwood Lake",2010,"Female","ATY",1.7,NA,NA
20,"0669-21971","NH","Squam Lake",2010,"Female","ATY",1.1,NA,NA
18,"0898-09839","NH","Squam Lake",2010,"Female","ATY",0.9,NA,NA
7,"0669-21970","NH","Winnipesaukee",2010,"Female","ATY",0.9,NA,NA
21,"0669-21988","NH","Little Squam Lake",2010,"Female","ATY",0.6,NA,NA
48,"0559-61794","ME","Aziscohos",2010,"Male","ATY",5,NA,NA
38,"0938-44702","ME","Flagstaff",2010,"Male","ATY",3.8,NA,NA
47,"0938-44727","ME","Watchic Lake",2010,"Male","ATY",3.7,NA,NA
35,"0938-06399","ME","Chain of Ponds",2010,"Male","ATY",3.3,NA,NA
52,"0938-44808","ME","Watchic Lake",2010,"Male","ATY",3.2,NA,NA
3,"0898-09819","NH","Swains Lake",2010,"Male","ATY",3,NA,NA
49,"0898-09143","ME","Aziscohos",2010,"Male","ATY",2.6,NA,NA
37,"0898-09977","ME","Gull Pond",2010,"Male","ATY",2.2,NA,NA
40,"0669-21954","ME","Coffee Pond",2010,"Male","ATY",2.2,NA,NA
39,"0938-15197","ME","Coffee Pond",2010,"Male","ATY",2.2,NA,NA
11,"0898-09818","NH","Squam Lake",2010,"Male","ATY",2.1,NA,NA
4,"0669-21969","NH","Squam Lake",2010,"Male","ATY",2,NA,NA
13,"0669-21976","NH","Squam Lake",2010,"Male","ATY",1.8,NA,NA
30,"0938-03410","ME","Loon Lake",2010,"Male","ATY",1.8,NA,NA
56,"0938-15212","ME","Echo Lake",2010,"Male","ATY",1.3,NA,NA
29,"0938-26160","ME","Saddleback Lake",2010,"Male","ATY",1.2,NA,NA
19,"0669-21984","NH","Winnipesaukee",2010,"Male","ATY",1,NA,NA
45,"0938-44411","ME","Haley Pond",2010,"Male","ATY",1,NA,NA
9,"0669-21973","NH","Winnipesaukee",2010,"Male","ATY",1,NA,NA
54,"0938-06393","ME","Kezar Lake",2010,"Hatch Year","HY",0.4,NA,NA
33,"0938-06392","ME","Highland Lake",2010,"Female","ATY",2.3,NA,1
1,"0669-21989","NH","Swains Lake",2010,"Female","ATY",1.9,NA,1
17,"0669-21996","NH","Winnipesaukee",2010,"Female","ATY",1.3,NA,1
10,"0669-21998","NH","Squam Lake",2010,"Female","ATY",1.2,NA,1
36,"0938-03407","ME","Mooselookmeguntic",2010,"Male","ATY",3.3,NA,1
8,"0938-15333","NH","Northwood Lake",2010,"Male","ATY",3.2,NA,1
31,"0938-26131","ME","Rangeley",2010,"Male","ATY",2.9,NA,1
22,"0559-61876","NH","Winnipesaukee",2010,"Male","ATY",2.2,NA,1
53,"0938-44896","ME","Notched Pond",2010,"Male","ATY",2.1,NA,1
51,"0938-15277","ME","Little Sebago",2010,"Male","ATY",1.8,NA,1
28,"0938-66611","ME","Saddleback Lake",2010,"Male","ATY",1.4,NA,1
34,"0938-06455","ME","Chain of Ponds",2010,"Male","ATY",1.4,NA,1
24,"0938-03438","NH","Winnipesaukee",2010,"Male","ATY",1.3,NA,1
